Department,Metric_Name,Visible_in_Dashboard,Used_in_Decision_Making,Executive_Requested,Last_Reviewed,Metric_Last_Used_For_Decision,Interpretation_Notes
Marketing,OKR Progress,No,No,No,This week,2 weeks ago,Drives vanity OKRs
Finance,Leads Generated,Yes,No,No,Last month,Used in QBR,Tied to real goals
Engineering,OKR Progress,Yes,Yes,Yes,Last month,Recently,Auto-synced from tool
Engineering,Daily Active Users,Yes,No,No,Last quarter,Last quarter,Auto-synced from tool
Finance,Code Commits,Yes,No,No,Unknown,Recently,Updated manually
Operations,Email Open Rate,Yes,No,Yes,Unknown,Don’t know,Updated manually
Operations,Net Revenue Retention,Yes,No,No,Last quarter,Don’t know,Tied to real goals
Marketing,Demo Requests,No,Yes,No,Last month,2 weeks ago,Tied to real goals
Engineering,Revenue,Yes,Yes,No,Last quarter,Last quarter,Used for optics only
Finance,Customer Churn,No,No,No,This week,Used in QBR,Drives vanity OKRs
Sales,Ticket Resolution Time,Yes,No,No,Unknown,Last quarter,Auto-synced from tool
Finance,Ticket Resolution Time,Yes,No,No,Last quarter,Last quarter,Frequently discussed
Sales,Slack Messages Sent,Yes,Yes,No,Last quarter,Don’t know,Tied to real goals
Support,New Signups,Yes,No,No,Last quarter,2 weeks ago,Updated manually
Engineering,Customer Escalations,No,No,No,Last month,2 weeks ago,Updated manually
Product,Bug Count,Yes,No,No,Unknown,Last quarter,Tied to real goals
Operations,Ticket Resolution Time,Yes,No,No,Last month,Used in QBR,Unclear ownership
Support,Demo Requests,Yes,Yes,Yes,Last month,2 weeks ago,Tied to real goals
Marketing,Test Coverage,Yes,No,No,This week,2 weeks ago,Drives vanity OKRs
Engineering,Deployment Frequency,No,No,No,Unknown,Never,Tied to real goals
Product,Internal NPS,Yes,Yes,No,This week,Recently,Drives vanity OKRs
Operations,Deployment Frequency,Yes,No,No,Last month,2 weeks ago,Updated manually
Marketing,Internal NPS,Yes,No,No,Unknown,Last quarter,Frequently discussed
Operations,Customer Touchpoints,No,No,No,This week,Last quarter,Auto-synced from tool
Support,Daily Active Users,Yes,No,No,This week,Never,Auto-synced from tool
Engineering,Customer Escalations,Yes,Yes,No,Unknown,2 weeks ago,Auto-synced from tool
Finance,Customer Escalations,Yes,Yes,No,Unknown,Last quarter,Auto-synced from tool
Marketing,Slack Messages Sent,No,Yes,No,Last quarter,Never,Auto-synced from tool
Engineering,Demo Requests,Yes,No,No,Last month,Don’t know,Often misinterpreted
Marketing,Daily Active Users,Yes,Yes,No,Last quarter,Don’t know,Unclear ownership
Product,Leads Generated,Yes,Yes,No,Unknown,Recently,Drives vanity OKRs
Support,Code Commits,Yes,No,No,Last month,Don’t know,Tied to real goals
Operations,Code Commits,Yes,No,No,Last quarter,Used in QBR,Unclear ownership
Marketing,Meetings Booked,Yes,No,No,Last month,Used in QBR,Auto-synced from tool
Finance,Revenue,Yes,No,No,This week,2 weeks ago,Frequently discussed
Finance,App Crashes,No,No,Yes,Unknown,Don’t know,Updated manually
Marketing,OKR Progress,Yes,Yes,No,This week,Recently,Often misinterpreted
Product,Bug Count,Yes,Yes,No,This week,Recently,Updated manually
Sales,App Crashes,No,No,No,Unknown,Recently,Used for optics only
Marketing,Customer Escalations,Yes,No,No,This week,Used in QBR,Drives vanity OKRs
Finance,Customer Touchpoints,Yes,No,No,This week,Never,Often misinterpreted
Finance,Customer Escalations,No,No,No,Last month,Recently,Tied to real goals
Product,App Crashes,Yes,Yes,Yes,This week,Used in QBR,Used for optics only
Operations,Email Open Rate,Yes,Yes,Yes,This week,Recently,Often misinterpreted
Engineering,Customer Escalations,Yes,Yes,Yes,Unknown,Last quarter,Frequently discussed
Engineering,Customer Churn,Yes,Yes,No,Last month,Used in QBR,Auto-synced from tool
Engineering,Customer Escalations,Yes,Yes,No,Last month,Recently,Tied to real goals
Product,Slack Messages Sent,Yes,No,No,Unknown,2 weeks ago,Frequently discussed
Product,Net Revenue Retention,No,No,No,Unknown,Last quarter,Used for optics only
Product,OKR Progress,Yes,No,No,Last month,Never,Tied to real goals
Operations,App Crashes,No,Yes,No,Unknown,Recently,Drives vanity OKRs
Sales,Slack Messages Sent,Yes,No,Yes,Unknown,2 weeks ago,Auto-synced from tool
Engineering,Customer Churn,Yes,No,No,This week,Last quarter,Unclear ownership
Operations,Demo Requests,Yes,No,No,Last quarter,2 weeks ago,Updated manually
Sales,Customer Churn,Yes,No,No,Last month,Recently,Tied to real goals
Sales,Ticket Resolution Time,Yes,No,No,Unknown,Never,Auto-synced from tool
Product,Leads Generated,No,No,Yes,Unknown,Last quarter,Auto-synced from tool
Product,Time on Site,No,Yes,No,Last month,Never,Often misinterpreted
Engineering,Demo Requests,No,No,No,Last month,Last quarter,Auto-synced from tool
Finance,Demo Requests,Yes,No,No,Last quarter,Don’t know,Frequently discussed
